,x
827,1539404
828,1539434
829,1539447
830,1539452
831,1539459
832,1539590
833,1539631
834,1539808
835,1539964
836,1539978
837,1540173
838,1540224
839,1540358
840,1540477
841,1540650
842,1540871
843,1540978
844,1541035
845,1541065
846,1541100
847,1541164
848,1541184
849,1541239
850,1541376
851,1541454
852,1541641
853,1541744
854,1541752
855,1541981
856,1542099
857,1542404
858,1542519
859,1543128
860,1543185
861,1543275
862,1543314
863,1543788
864,1544102
865,1544406
866,1544480
867,1544568
868,1544591
869,1544677
870,1544749
871,1544958
872,1545298
873,1545479
874,1545800
875,1545834
876,1545862
877,1545883
878,1546072
879,1546306
880,1546379
881,1546408
882,1546600
883,1546684
884,1546724
885,1546751
886,1546760
887,1546884
888,1547059
889,1547236
890,1547248
891,1547291
892,1547786
893,1548260
894,1548337
895,1548343
896,1548365
897,1548430
898,1548642
899,1548707
900,1548794
901,1548985
902,1549094
903,1549299
904,1549357
905,1549439
906,1549465
907,1549691
908,1550083
909,1550261
910,1550316
911,1550372
912,1550388
913,1550430
914,1550539
915,1550568
916,1550672
917,1550905
918,1551010
919,1551101
920,1551145
921,1551254
922,1551290
923,1551370
924,1551502
925,1551522
926,1551821
927,1551868
928,1551950
929,1552043
930,1552287
931,1552330
932,1552389
933,1552458
934,1552507
935,1552802
936,1552940
937,1553105
938,1553134
939,1553321
940,1553385
941,1553392
942,1553676
943,1553817
944,1553854
945,1553912
946,1554047
947,1554124
948,1554418
949,1554526
950,1554606
951,1554656
952,1554725
953,1554728
954,1554731
955,1554812
956,1554875
957,1555004
958,1555022
959,1555173
960,1555278
961,1555286
962,1555328
963,1555337
964,1555508
965,1555733
966,1555750
967,1555800
968,1556046
969,1556047
970,1556076
971,1556085
972,1556132
973,1556199
974,1556242
975,1556470
976,1556683
977,1556761
978,1556860
979,1556889
980,1556976
981,1557247
982,1557282
983,1557621
984,1557738
985,1557940
986,1558168
987,1558177
988,1558666
989,1558773
990,1558993
991,1559011
992,1559118
993,1559144
994,1559573
995,1560035
996,1560053
997,1560081
998,1560082
999,1560094
1000,1560238
1001,1560529
1002,1560579
1003,1560711
1004,1560989
1005,1561009
1006,1561089
1007,1561153
1008,1561185
1009,1561213
1010,1561535
1011,1561892
1012,1562301
1013,1562331
1014,1562332
1015,1562838
1016,1563244
1017,1563334
1018,1563407
1019,1563462
1020,1563497
1021,1563620
1022,1563854
1023,1564115
1024,1564273
1025,1564359
1026,1564524
1027,1564598
1028,1564619
1029,1564924
1030,1564966
1031,1565076
1032,1565285
1033,1566186
1034,1566376
1035,1566664
1036,1566693
1037,1566753
1038,1566769
1039,1566825
1040,1566972
1041,1567126
1042,1567250
1043,1567380
1044,1567412
1045,1567474
1046,1567584
1047,1567695
1048,1567814
1049,1567930
1050,1567932
1051,1567992
1052,1568060
1053,1568097
1054,1568149
1055,1568381
1056,1568659
1057,1568707
1058,1568846
1059,1569007
1060,1569266
1061,1569275
1062,1569349
1063,1569427
1064,1569535
1065,1569612
1066,1569705
1067,1569809
1068,1569816
1069,1569989
1070,1570668
1071,1570819
1072,1570879
1073,1571126
1074,1571635
1075,1571861
1076,1571862
1077,1571928
1078,1572057
1079,1572131
1080,1572134
1081,1572286
1082,1572341
1083,1572538
1084,1572540
1085,1572543
1086,1572791
1087,1573049
1088,1573114
1089,1573300
1090,1573384
1091,1573420
1092,1573565
1093,1573613
1094,1573668
1095,1573689
1096,1573695
1097,1573942
1098,1573993
1099,1574308
1100,1574318
1101,1574486
1102,1574502
1103,1574599
1104,1574727
1105,1574888
1106,1575049
1107,1575151
1108,1575186
1109,1575191
1110,1575213
1111,1575236
1112,1575529
1113,1575567
1114,1575652
1115,1575816
1116,1575829
1117,1575849
1118,1575855
1119,1575875
1120,1575883
1121,1575885
1122,1575895
1123,1575986
1124,1576054
1125,1576122
1126,1576212
1127,1576216
1128,1576250
1129,1576263
1130,1576359
1131,1576433
1132,1576483
1133,1576636
1134,1576746
1135,1576850
1136,1576880
1137,1576885
1138,1576889
1139,1576956
1140,1576960
1141,1577052
1142,1577129
1143,1577238
1144,1577265
1145,1577332
1146,1577430
1147,1577681
1148,1577682
1149,1577692
1150,1577905
1151,1578147
1152,1578152
1153,1578244
1154,1578268
1155,1578400
1156,1578424
1157,1578655
1158,1578723
1159,1578805
1160,1579058
1161,1579106
1162,1579249
1163,1579265
1164,1579454
1165,1579497
1166,1579578
1167,1579605
1168,1579629
1169,1579823
1170,1579883
1171,1580002
1172,1580050
1173,1580114
1174,1580237
1175,1580242
1176,1580480
1177,1580546
1178,1580565
1179,1580571
1180,1580612
1181,1580675
1182,1580700
1183,1580711
1184,1580716
1185,1580766
1186,1581003
1187,1581011
1188,1581066
1189,1581130
1190,1581152
1191,1581221
1192,1581271
1193,1581556
1194,1581575
1195,1581637
1196,1581659
1197,1581928
